user_id,group,adopted,reengaged,converted
1,control,0,0,0
2,treatment,0,0,0
3,treatment,0,0,0
4,treatment,0,0,0
5,control,0,0,0
6,control,0,0,0
7,control,0,1,0
8,treatment,0,0,0
9,treatment,1,0,0
10,treatment,1,0,0
11,control,0,0,0
12,treatment,0,0,0
13,treatment,1,0,1
14,control,0,0,0
15,control,0,0,0
16,control,0,0,0
17,control,0,0,0
18,treatment,0,0,0
19,control,0,0,0
20,control,0,0,0
21,treatment,0,1,0
22,control,0,0,0
23,control,0,0,0
24,control,0,0,0
25,control,0,0,0
26,treatment,0,0,0
27,control,0,0,0
28,treatment,1,0,1
29,treatment,0,0,0
30,control,0,0,0
31,treatment,0,0,0
32,control,1,0,0
33,control,0,0,0
34,treatment,1,0,0
35,treatment,0,0,0
36,treatment,0,0,0
37,control,0,0,0
38,control,0,0,0
39,treatment,0,0,0
40,control,0,0,0
41,control,0,0,0
42,control,0,0,0
43,control,0,0,0
44,treatment,0,0,0
45,control,0,0,0
46,treatment,0,0,0
47,control,0,0,0
48,treatment,0,0,0
49,treatment,1,0,0
50,control,1,0,0
51,treatment,1,0,0
52,treatment,0,0,0
53,treatment,1,0,0
54,treatment,0,0,0
55,treatment,0,0,0
56,treatment,0,1,0
57,control,0,0,0
58,control,0,0,0
59,control,0,0,0
60,control,0,0,0
61,control,0,0,0
62,control,0,0,0
63,treatment,0,0,0
64,control,0,0,0
65,control,0,0,0
66,treatment,0,1,0
67,control,0,0,0
68,treatment,1,0,0
69,control,0,0,0
70,treatment,1,0,0
71,treatment,1,0,0
72,control,0,0,0
73,control,0,0,0
74,treatment,0,0,0
75,treatment,1,0,0
76,treatment,0,0,0
77,treatment,0,0,0
78,control,0,0,0
79,control,0,0,0
80,control,1,0,0
81,treatment,0,0,0
82,treatment,0,0,0
83,control,0,0,0
84,control,0,0,0
85,control,0,0,0
86,control,0,0,0
87,treatment,0,0,0
88,treatment,0,0,0
89,treatment,1,0,0
90,control,0,0,0
91,control,0,0,0
92,treatment,0,0,0
93,treatment,0,0,0
94,treatment,1,0,1
95,treatment,1,0,0
96,control,0,0,0
97,treatment,0,0,0
98,control,0,0,0
99,control,0,0,0
100,control,0,0,0
101,control,1,0,0
102,treatment,0,0,0
103,control,1,0,0
104,treatment,0,0,0
105,treatment,0,0,0
106,control,0,0,0
107,control,0,0,0
108,treatment,0,0,0
109,control,0,0,0
110,control,0,0,0
111,control,0,0,0
112,control,0,0,0
113,treatment,0,0,0
114,treatment,0,0,0
115,treatment,0,0,0
116,treatment,0,0,0
117,treatment,0,0,0
118,control,0,0,0
119,treatment,0,1,0
120,treatment,1,0,0
121,treatment,0,0,0
122,treatment,0,1,0
